"","observed","location_details","county","state","season","title","latitude","longitude","date","number","classification","geohash","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed","word_count_of_observed"
"204","0300 6/15/94  a large animal walked through our camp coming from deep cover.  the sound indicated to me a large animal, not wishing to draw any ire, i left well enough alone and listened to it head on out. 0500 hours my camp mates compared notes with one actually accusing me of being the animal as he swears he saw a human silouette at the time we all heard the animal.0530 1 mile downstream i heard a loud commotion in the gravel of a 10 foot cut bank. thinking it was my friend  i went to the sound only to smell a horrible smell. i threw a few rocks at the sound but nothing bolted like i think a normal animal would. the whole situation made my hair stand up. i camp and hunt the smell was nothing like any thing i had smelled much worse even than my old dog.","3 miles w of camp monte on the metolius river 30 miles west of madras","Jefferson County","Oregon","Summer",NA,NA,NA,NA,676,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151
"205","While elk hunting with a friend,we decided to head back to the truck because it was geting dark. We both got the terrifying feeling we were being watched and followed. I heard a very loud frightening sream. The sounds were continuous for at least five minutes. Sound was just behind the trees and we could hear it banging on a tree and breaking branches. We hid behind some boulders with our rifles, waiting for the thing to come out but it did't. We were pretty scared by this time and headed back to the truck about 1/2 mile away. We set up camp about 15 miles away. That night we heard something circle ouround our camp about five times. We naver saw what it was but could tell it was large and heavy by the sound of it walking in the gravel on the ground.","Near the King Mountain lookout East of highway 20 north of the town of Burns","Harney County","Oregon","Fall",NA,NA,NA,NA,669,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
"206","Walking up to a stream to fish for German brown trout, we always try to be quiet as not to scare the fish . As we got around a 90 degree turn in the stream, we both saw what at first was a bear with its paws in the water. As it saw us, it stood up and looked to be around 7', we both knew it was not a bear as we have hunted black bear. We dropped our fishing poles and stared. I have hunted and fished in the high lakes in Oregon for a lot of years but have not been back to this stream since. I think this creature was as scared of us as we were of it. It watched us for about 20 second then turned and headed for the tree line but turned his head and watched us all the way to the trees, then stood and watched us for about a minute then in two big steps it was in the trees and gone.","Davis Creek between Davis and Odell lakes.","Deschutes County","Oregon","Fall","Report 7298: Two fishermen encounter an unknown biped along a creek",43.5705,-121.8955,"8/15/1980",7298,"Class A","9r9rf5y2sc",0,NA,0,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172
"207","We were paddle boarding at Hosmer Lake and on the far backside of the lake where the water is only about 1 foot deep we saw a track or trail through the water with very clear and apparent large footprints.  The foot was completely decked and toes were clear as day.... We found an easy dozen or more footprints in the water in the mud... Not all were apparent... The trail lasted approx a couple hundred feet ... We saw Elk prints and the 'footprints' seemed to occasionally jolt to the side... As if it were trying to jump onto a fish or duck...  The prints were very large... The water in the lake there is way too cold to walk through....","Take Cascades Lake highway south out of Bend. Go past Elk Lake Left on Elk Lake Loop Continue on Mud Lake Road Take right on NF-600 Drop boat in and head to far shore, go up river more Water opens up again, go to head of lake again.","Deschutes County","Oregon","Summer","Report 36384: Possible track way found in Hosmer Lake near Bend",43.97603,-121.7828,"9/1/2012",36384,"Class B","9rc6hv86zn",75.9,57.5,39.7,22.5,36.7,0,0.54,0,0,NA,1016.9,"Clear conditions throughout the day.","Clear",NA,9.9,328.1,8.3,122
"208","I was driving to Mt Bachelor in Bend OR. As I was driving about 150 yards up the road I saw a massive thing take 3 large steps across the highway. It was very dark in color. About 8:00 o clock in the morning.","On the way to Mt Bachelor on Cascade Lakes highway.","Deschutes County","Oregon","Winter","Report 43491: Possible daylight road crossing on Cascade Lakes Hwy. near Bend",43.98136,-121.4705,"11/15/2013",43491,"Class B","9rcd5yecup",43.2,34,24.9,24.7,70.5,28.6,0.44,0,0,NA,1012.1,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,214.3,16.5,44
"209","While collecting mushrooms i came across a huge footprint. The area was thick with brush', and knowing i didn't believe i saw what i saw.   my hair still stands with the thought ...my friend and i will never forget. the print was indented and around 18 inches long and 8 inches wide","off hwy 138 w half mile south of elkton turnwest across umpqua river proceed a mile turn right on camp cr road up in the hills","Douglas County","Oregon","Fall","Report 25533: Two men mushroom picking find large footprint and snapped tree near Elkton",43.61538,-123.5036,"11/15/2006",25533,"Class B","9rb0jegqj8",59.5,50.1,42.6,43.2,78.4,67.1,0.83,0.463,100,"['rain']",1010.9,"Becoming cloudy in the afternoon with rain.","Rain, Partially cloudy",NA,7.6,179,17.3,52
"210","Several years ago while hunting in southern Oregon on top of Wagner peak just southwest of Ashland Oregon, My father and I happened across A very large almost humon type track in the snow , it appeared to be 14 to 18 inches long ,6 or maybe 7 inches wide , the snow had been melting but it was no humon footprint , there were five distintive toes , and what looked like another heal print about 4 or 5 feet ahead of the other. On other hunting trips I have smelled very foul odor in that general area. And no sign of any wildlife at all . Its been atleast five years sence ive been up there. Its diffacult to give an exact location without showing someone, but its around a mile or two below the peak by trail where i saw the tracks onthe southwest side. However the odors seem to be mostly allways on the southeast side and east side in the heavy timber.","the best way ive found to get there is 7 mile up 2060 and find the old forest service trail ,hike about 2 miles to the dencely forested slopes south of wagner peak up in the asland water shed. however there is a good trail up from wagner cr.rd.","Jackson County","Oregon","Fall","Report 2681: Hunters, father and son, find track on Wagner Peak",42.08845,-122.7465,"9/23/1995",2681,"Class B","9r2xqvfwzp",84.8,67.8,50.9,40.9,40.3,18.3,0.97,0,0,NA,1012.9,"Clear conditions throughout the day.","Clear",NA,16.6,322.8,7.9,167
"211","I was deer hunting on the east slope of a very steep hillside & saw movement about 70 yards down & away from me.  I started to bring my rifle up but realized it was too dark & tall to be a deer.  I saw this ""thing"" walk through the trees & even though it was very dry & crunchy in the woods it made no sound.  I saw it walk very briskly for about 40 yards and then turned down the slope & out of sight.","Just West of Crater Lake National Park near Union creek.","Jackson County","Oregon","Fall",NA,NA,NA,NA,675,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
"212","Vocalizations over a period of months. Long drawn out howls. They were very loud in comparison to other animals that you would hear in the area. The sounds appeared to be originating from BLM land across the street from my house. Did not see anything, but these were not howls that you would hear from other animals in the area. This happened throughout the summer and fall of 2003.","The events were heard in the 800 block of Upper Applegate Rd. It sounded like the sounds were in the BLM land called Woodrat Mountain.","Jackson County","Oregon","Fall","Report 65789: Possible vocalizations heard outside Ruch on BLM land called ""Woodrat Mountain""",42.2356,-123.0137,"9/15/2003",65789,"Class B","9r882bb0jn",78,64.2,55.1,45.9,53.2,2.1,0.67,0,0,NA,1013.3,"Clear conditions throughout the day.","Clear",NA,9.5,333.2,14.4,69
"213","My aunt and uncle, who lived on the edge of town, heard a burgler going thru stuff on the back porch late at night. Looked out an seen a huge bigfoot lookin thru stuff. My aunt screamed and bigfoot run off. About same time a neighbor said he almost hit a bigfoot with his truck, coming home from night shift. This really happened.","Hugo, in Josephine County Oregon, About ten miles north of Grants Pass.","Josephine County","Oregon","Unknown",NA,NA,NA,NA,677,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"214","Where to begin?  Rochelle and I took our kids to the Oregon Caves National Park in southern Oregon.  We ate lunch at a picnic table and then took a tour of the caves.  The caves were spectacular.  If you haven’t seen them before, they are a must see experience.","Oregon Caves National Park in Southern Oregon","Josephine County","Oregon","Summer",NA,NA,NA,NA,678,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"215","I and my now-ex-husband were hiking the Big Tree Trail after going on the Oregon Caves Tour.  We were about midway along in the hike, when we heard a loud, deep call.  It came from above us on the hillside, starting at our left. It started faintly, and picked-up volume as passed above us on the hillside, and then faded away.  It moved quickly... not as quickly as a bird flies, but far faster than a man travels. It was deep, and the quality was such that it seemed far away, yet was clearly audible. It sounded like, ""whuh! whuh! whuh! whuh!""  The trail cuts through pretty dense forest, and we couldn't see anything. There were no starts and stops to this repetitive call, no slowing of movement judging by the movement of the sound.","The location is the switch-back portion of the Big Tree Trail from the Cave at the Oregon Caves National Monument park. I certainly couldn't be more specific after three years.","Josephine County","Oregon","Summer","Report 6655: Couple hears repetitive calls near Oregon Caves N. M",42.09224,-123.4043,"7/30/2000",6655,"Class B","9r2pryetp6",90.4,76.2,63.6,56.9,53.5,0,0,0,0,NA,1013,"Clear conditions throughout the day.","Clear",NA,9.9,334.7,12.2,135
"216","Maybe nothing, but, my wife and I were camped in Fiddler Gulch, (Lat 42.220218 Lon -123.748328 deg.), over the weekend of June 15th, 2008. Several times we heard what sounded like a branch hitting a tree. The sound was the same each time, two cracking sounds spaced about two seconds apart. My wife thinks that the sound may have been heating or cooling of a burnt out tree, cracking as it expands or contracts. We were in the Biscuit fire area. There was not much of a breeze to cause branch movement, so not likely wind. The sound was two measured beats, and was heard just once or twice morning and evening.","End of NFD 029, at Fiddler Gulch","Josephine County","Oregon","Summer","Report 25445: Possible knocking heard by husband and wife while camping on their gold claim in Fiddler Gulch",42.22501,-123.75,"2/18/2009",25445,"Class B","9pxbpyzfxb",51.9,44,37.6,34.3,70.1,16.6,0.8,0,0,NA,1021.7,"Clear conditions throughout the day.","Clear",NA,6.9,125.9,7.7,112
"217","I was sleeping in my big rig with the engine off and my alarm was set for 4:15 a.m. Somthing woke me up five minutes before I was supposed to get up. I got out of the truck to have a look around and saw nothing. I then got back into the truck when I heard a sound that made my skin crawl. It was a loud high pitched whooping sound that echoed throughout the forest. I have never heard anything like this before. About a year later me and my son were watching the Discovery  chanel or The Learning Chanel about Bigfoot and they had what was supposedly the sound from a Bigfoot. It was the very same sound. And again it made my skin crawl and the hair on my neck stand up. My son thought it was very funny that his dad was standing on the couch like a scared old lady when we heard it. WAYNE HEARRELL","On hwy. 97 across the street from a restaurant in Chemult Oregon.","Klamath County","Oregon","Fall",NA,NA,NA,NA,682,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161
"218","Date: 09/19/2004 Time: Approx. 6:00 PM Conditions: Partly Cloudy w/ clear visibility Location: About one mile or less from Cascade Summit Pass on Hwy 138. I had spent the weekend visiting my kids in Ashland and was returning home to Redmond. I was traveling on a very straight section of 138 East of the pass when I saw a large very dark humanoid figure appear out of the woods and very quickly run (great strides) across the roadway and disappear into the woods to the south before I could get even to it. It was maybe 50 yards ahead at first sight. Though it was clear, it appeared to be shadowed from head to foot.","About 10 miles west of the junction between highway #138 and #97 (Diamond Lake Junction).","Klamath County","Oregon","Summer","Report 9352: Driver has daylight, road-cross encounter near Chiloquin",43.08929,-122.0802,"9/19/2004",9352,"Class A","9r9jjupvm1",0,NA,0,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115
"219","I stepped outside to empty the trash when I heard at first what sounded like a siren.  It could best be described as sounding similar to the whoops posted on this site.  There were 4 or 5 loud whoops that had more emphasis towards the end of the sound.  Immediately following the first sound and continuing throughout the sounds I could here a pack of coyotes going absolutely nuts.  There are a lot of coyotes that frequent the area so I know their sounds really well.  Sometimes they get worked up but never anything like this. After the sounds ended everything went quiet, even the coyotes stopped howling.","Near the long lake area south of hwy 140 w, just before Running Y Resort, on the south side of Hwy. 140","Klamath County","Oregon","Winter","Report 13597: Possible vocals heard near Klamath Lake",42.23865,-121.9446,"1/16/2006",13597,"Class B","9r923169uz",34.5,31,26.9,27.7,87.8,97.2,0.58,0.21,100,"['rain', 'snow']",1027.3,"Cloudy skies throughout the day with rain or snow clearing later.","Snow, Rain, Overcast",NA,7,105.7,7.6,108
"220","In May or June of 1977 my wife and I decided to take a ride up the MacKenzie River from Eugene on a Sunday afternoon.  After stopping at Cougar Springs, we headed up to Proxy Falls area and hiked into the Three Sisters Wilderness area about three miles.  We had just entered a meadow about twenty yards wide and stopped to talk when we both heard something that sounded large moving in the trees just outside the clearing.  We both started listening.  Whatever was in the trees was making a low, soft grunting sound and it's footsteps were audible and heavy.  It sounded like a biped.  My wife asked me what it was but I had never heard something make that sound before.  I grew up about 40 miles from this spot in the upper Santiam River area.  Whatever it was completely circled us, staying in the trees, twice.  We were both becoming uneasy, and my wife asked me to get us out of there.  We began to walk back down the trail, stopping occasionally to see if it was following.  It didn't.","From Eugene take O-126 east to O-242 to Proxy Falls trail head.","Lane County","Oregon","Spring","Report 21154: Couple has possible daylight encounter near Proxy Falls",44.15568,-121.9531,"5/1/1977",21154,"Class B","9rc70yk3qz",58.4,48.8,39.8,40,71.7,95.8,0.44,NA,0,NA,1011.1,"Cloudy skies throughout the day.","Overcast",NA,22.3,250.3,14.8,183
"221","We were driving the convertible and Mel was tapeing the road as we drove. The bigfoot or whatever it was came from behind a tree and ran quickly into the woods. It was about two football fields away and was in the video for a very short time. It appeared silver at that distance and seemed to run with its hands at its side.","We sighted what we believe to be a bigfoot while driving to the coast on little used Smith River Rd.","Lane County","Oregon","Summer","Report 206: Videocamera Accidently Captures Distant Bipedal Movement near Smith River Road",43.7667,-123.455,"7/15/1999",206,"Class B","9rb0yxqz9b",81.5,62.4,46.2,46.5,59.6,3,0.09,0,0,NA,1014.7,"Clear conditions throughout the day.","Clear",NA,9.8,335.5,12.8,64
"222","As I was coming down into the lake country as I call it.   The wind was blowing from my left to my right.  I picked up this bad smell, almost like something had died.   I looked to my left and next to the trees 15 or 20 ft. away was this upright dark haired creature standing there looking at me.   I said geese what the hell is that.  Then this creature turned and went into the trees.  To be honest I did not follow it.  It scared the devil out of me.  I have not returned.  I'm not sure I want to.","Go up the McKenzie Hwy 126 from Springfield past McKenzie Bridge to Boulder Creek Road turn right and go to the top.  Hike over the ridge into the Mount Washington Wilderness. About a half mile in on the left was this upright dark haired creature.","Lane County","Oregon","Summer","Report 673: Hiker encounters large animal at close range in Mount Washington Wilderness",44.27795,-121.9524,"7/15/2000",673,"Class A","9rc7buscz0",78.9,58.6,35.7,35.7,50.6,0,0.47,NA,0,NA,1020.6,"Clear conditions throughout the day.","Clear",NA,9.9,334.8,17.2,102
"223","Myself and my two cousins were out hunting.  I had met up with my younger cousin and we both hiked up to an old logging road.  We then heard a very loud scream come from across a valley.  It was about a mile or so across and the scream seemed so loud at first I thought that some lady was screaming for help or something.  The screaming lasted for just a short time, mabey 30-45 seconds or so.  I Asked my cousins what that sound was and they said they have never heard it before even though they have hunted these woods for about seven years now.  I then remembered that I read in a book that sasquatch sometimes make a loud screaming noise.  I still do not know exactly what made that noise.","It was near the Diamond Peak Wilderness area maybe within five miles near it; we were about five or six thousand feet in elevation.","Lane County","Oregon","Fall","Report 1778: Three young hunters hear very loud scream across Diamond Peak Wilderness valley.",43.5883,-122.0833,"9/10/2000",1778,"Class B","9r9pvzj8kb",0,NA,0,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134
"224","My girlfriend and I were driving westbound on Hwy 58 just west of the summit.  When I saw this very large, seemed to be dark in color, come running across the road at a very fast speed!!!  I was very tired and thought that maybe it was a large elk or something.  So I looked over at my girlfried and she was in shock, she could'nt believe what she saw.  She was very certain that it was on two legs.  So this is what I saw just to let you know i am not the type of person that would just write something like this if it was not 100% true.  I just would like to report what I saw and try and help you guys out.  thanks.","none","Lane County","Oregon","Fall","Report 7366: Couple in car observe an upright animal crossing highway",43.6165,-122.1,"11/8/2003",7366,"Class A","9rc0js1kxb",0,NA,0,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128
"225","July 17, 2004 My two sons and I were camping this weekend at the One Potato Mineral campground...just up the Forest Service Access Road from Mineral Camp. (Sharp Creeks/Bohemia Mine area).  We were hiking up the steep road leading to the Ghost Town mining area in the early evening.  We kept talking about a ""strange bird sound""...the ""Whoop-Whoop- Whoop""...and just dismissed it as some weird bird.  I happened across your website because I was looking for information on the Bohemia Mine. I had chills and goosebumps when I read your journal entry. We also heard ""heavy"" footsteps outside our tent on Saturday night, July 17th.  Then in the very early morning...around 4:00am...I could smell something REALLY nasty. Here...something had ""Marked"" our tarp and our tent.  The urine smell was SO strong...we had to leave our tent tarp behind. I really do believe NOW that we had a ""Sasquatch Encounter"".  Whoa!","The campground is about 8 miles SE of Dorena Lake.","Lane County","Oregon","Summer","Report 9020: Camping family has auditory and olfactory encounter in early evening southeast of Dorena Lake",43.6583,-122.8042,"7/17/2004",9020,"Class B","9rb8meb8n8",85.2,71.5,60.2,54.2,56.6,16.5,0,0,0,NA,1013.4,"Clear conditions throughout the day.","Clear",NA,9.9,282.6,13.9,150
"226","I was out side going to the bathroom by a creek (aprox. 20 feet away) and from across the creek (35 yds away)I here a hooting/ howling from a crop of trees. I immediately go inside. we heard the sound from inside the Yurt (25 feet from creek)2 more times. later that night (30 min) I went outside with a flash light to survey the hill side, when I seen a faint outline of something duck behind a group of trees. I immediately go inside. The next morning I went outside to check things out and there was a footprint leading towards the front door of the yurt. It is a very steep hill leading to the Yurt so the print was only the ball of the foot and the first 3 toes. embedded in the muddy print were several small white/brown hairs that I collected. there was also a hair on the door. My friend and I have been hearing this sound for months but much deeper in the mountains, never this close. My friends dad has been hearing the same sound from deep in the mountains since he moved there in 1984.","McKenzie Valley","Lane County","Oregon","Winter",NA,NA,NA,NA,27479,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194
"227","January 20th, 2016 about 1100. I was driving towards hwy 126 on High Banks road. I saw a large animal covered in long hair in a field to the right of the road. It was a lot larger than a bear. It was so out of place, in the open field. It was frozen still. I haven't seen any cattle in that field lately. I regret not stopping to take a picture. I was on my way to a doctors appointment and had a car tailing me. I was planning on asking the farmer who owns the property what animals he has had in the field lately.","Field next to the new business park.","Lane County","Oregon","Winter","Report 50901: Still hairy figure seen in a field by a motorist near Springfield",44.05917,-122.9343,"1/20/2016",50901,"Class B","9rbdds9zr0",49.2,44.4,36.6,39.8,83.8,84.8,0.38,0.197,100,"['rain']",1020.3,"Partly cloudy throughout the day with rain.","Rain, Partially cloudy",NA,9.8,174.9,12.8,107
"228","My son, his best friend, and myself were driving on a short logging road that crests over a hill and dead ends at the bottom. We had just crested the hill when we saw a large, black hairy creature start running at the bottom of the clear cut towards the timber line. The creature was approximately six to seven feet tall and running on two legs. We were approximately 200 yards from it when it started running. It ran a distance of about 100 yards to the timber line in only about 4 seconds, across uneven terrain. The time was about 8:30pm. We came back the next morning but could not find any tracks of the creature.","Head east on Highway 20 out of Sweet Home.","Linn County","Oregon","Spring",NA,NA,NA,NA,41378,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117
"229","A powerful ""roaring scream"" was heard by Dana and Sharmayne while they were fishing on a dock approximately 150 meters west of the Hoover Campground (located along the south side of Detroit Lake where the Santiam River empties into the lake).  The scream emanated from a point along the lake to the west of where the witnesses were fishing. Approximately 30 - 40 seconds later, an unidentified fisherman was seen running away from where the scream had originated.  Upon seeing him, the witnesses immediately joined the visibly panicked fisherman on the trail and the three of them continued running until they reached the relative safety of the campground. Once there, they ladies asked, ""Did you hear that scream?""  The shaken fisherman replied, ""Hear it?  Whatever that thing is was right next to me!"" After their brief conversation, Dana and Sharmayne quickly struck their camp and drove back to Portland.","Detroit Lake, Oregon  (Hoover Campground)","Marion County","Oregon","Summer",NA,NA,NA,NA,689,"Class B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149
"230","On July 10, 1:45 am in our camp site of Taylor Park between the towns of Lyons and Mill City Oregon. My family and I were camping for our final night when 3 of us were awakened by a scream like howl that sounds 100% exactly like the Klamath recording it screamed twice right after a siren went off. At that moment we knew it was like nothing any of us ever heard before so when we arrived home searching for the sounds of cougars mountain lions and bigfoot as well we finally came accross your site and knew positively that it was bigfoot. The hair on our bodies arose as if we were there again hearing it all over again and the fear over took me and I began to cry again from what we know now was Bigfoot.","Across the river from little north fork a private camp site called Taylor Park","Marion County","Oregon","Summer","Report 4644: Vocalizations heard by campers in Taylor Park",44.79307,-122.5674,"7/10/2002",4644,"Class B","9rbyffm4s9",96.2,78.7,60.9,56.1,49.7,0,0,0,0,NA,1014.4,"Clear conditions throughout the day.","Clear",NA,9.9,292,13.9,140
"231","I am a conductor for UPRR working pool freight from Portland OR to Hermiston OR.  We were traveling westbound on a train going around curves between Bonneville, Cascade Locks and Dodson.  As we came around a curve near milepost 36, I saw something dark between the rails.  I said to the engineer, ""What is that"".  He then blew the whistle. Something tall and hairy with long arms got up and ran into the trees and brush. Its arms swung wildly when it ran. We looked into the spot where the animal went into cover, but could not see it. Time  was daybreak.  We got a good look as we aproached at about 15 rail car lengths.","Near Bonneville Dam between Cascade Locks and Dodson just east of Eagle Creek area between Interstate-84 and the Columbia River.","Multnomah County","Oregon","Summer","Report 109: Union Pacific Railway Conductor Observes Great Ape on Railroad Trackbed",45.65125,-121.9123,"7/10/1995",109,"Class A","c2179yd1v9",77.7,65.5,55.1,52,64.6,74.7,0.44,0.387,100,"['rain']",1017.8,"Partly cloudy throughout the day with morning rain.","Rain, Partially cloudy",NA,20.6,307.2,11.6,116
"232","Creature 7 to 8 feet tall was sighted by my wife and son at  9:15 pm 01/09/02 near Multnomah Falls.  It crossed the freeway in front of their vehicle before going over guard rail toward the Columbia River. They nearly hit it in the westbound lane. She called me from her cell phone and told me what just happened.","Update from earlier report( 01/11/02): On return trip from Portland today,It was determined that the creature actually crossed at mile marker 29 on west bound side. Appoximately 300-500 feet west of marker. I-84 -Andrew B.","Multnomah County","Oregon","Winter","Report 3624: Nighttime sighting by motorist on I-84, west of Multnomah Falls",45.55364,-122.1884,"1/9/2002",3624,"Class A","c2155sc15v",48.2,44.9,42,42.1,90.3,54.7,0.87,0,0,NA,1024.8,"Partly cloudy throughout the day.","Partially cloudy",NA,6.1,77.7,15,59
"233","My friend and i were going out sign stealing, near Corbett off of I-84, we found a sign that we liked and got out of the car to get it. As we approached the side of the road, near the woods, I heard a low territorial growl. I asked my friend if he had heard it, but he hadn't. We were both kinda freaked out by what I had heard, so we raised out eyes to the darkness of the woods. At the exact second we looked out into the darkness, there came a shriek like nothing we had ever heard before. Then we heard something crashing through the underbrush, and we ran like little girls back to the car. I got the hell out of there, but we are going back this weekend to check it out. We talked about the noise and decided that it was like nothing we had ever heard before. Not human, or animal","Gordon Creek Rd. is south of Corbett, Oregon, in Multnomah County, near the Clackamas County line between Corbett and the hamlet of Aims, Oregon","Multnomah County","Oregon","Fall","Report 5053: Possible bigfoot encounter changes a mischievous teenager's plan",45.4684,-122.2487,"9/5/2002",5053,"Class B","c214djm0wu",73.4,60.6,47.5,45.3,59.5,21.1,0.96,0,0,NA,1016.3,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,316.8,8.9,159
"234","I was walking on a logging road, stopping to eat huckleberries. I heard some racket up behind me and thought it to be deer or elk, possibly a bear. Many of these species thrive in this area. I was very suprised to see the next thing that happened. Many large rocks were thrown in my direction. None that close though., rocks that weigh up to 10 pounds or more. This is the first I have spoken of this. It has been at least ten years now. I never saw anything but heard alot of noise above me. I was quite disturbed and thought maybe some pranksters were around. So for my safety I split.","Rugged canyons and thick cover at the time.","Polk County","Oregon","Fall","Report 8948: In the early morning, hunter observes rock throwing near Valsetz",44.8458,-123.5834,"10/15/1991",8948,"Class B","9rbp5gcmdp",69.6,57.2,44.3,43.1,61.7,0,0.25,0,0,NA,1013.1,"Clear conditions throughout the day.","Clear",NA,16.5,178.4,9.8,114
"235","I was driving home early in the morning from work when a large creacher cross the hiway infront of my car.  It was walking upright and took the road in 3 large steps.","About 5 miles west of the spirt mountain casino just past the first set of passing lanes","Polk County","Oregon","Fall","Report 548: Motorist observes bipedal creature crossing highway",45.06215,-123.7027,"10/30/2000",548,"Class A","c2003566n1",54.9,46.7,40.5,42.2,84.4,21.7,0.11,0,0,NA,1019.4,"Clearing in the afternoon.","Partially cloudy",NA,8.7,28,7.4,33
"236","I sumited a report to you of a sighting I had last September in Polk County, Oregon.  I was asked if I was interested in looking for tracks in that area.  At the time I said, ""No"". The area that I had my sighting seemed promising enough for me to check it out on the last two days of bow season last year.  I found an excellent hunting area for this year.  I had almost forgotten why I went up there in the first place and that was to satisfy my couriosity about possible bigfoot activity.  This morning 9/1/01 I was hunting in the area. I have been hunting in the area all week. I heard a strange noise and then a large tree fell in the forest. I will explain later.  I believe I have found indistinct tracks in several areas.  In these areas I saw and photographed trees that are snapped off in an unusual manner.","Gated forest road # 7 on north side of highway 18 about two miles west of Grande Rhonde, OR","Polk County","Oregon","Summer","Report 3064: Bowhunter finds twisted trees, tracks, scat, & unusual sounds",45.07072,-123.6664,"9/1/2001",3064,"Class B","c2003uugup",68.6,62.3,57.1,55.5,79.2,66.5,0.46,0,0,NA,1014.8,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,221,19.6,158
"237","Large, upright bipedal animal covered in dark-brown or black hair. The creature sat on a log, got up, looked up at us, and seemed nonchalant.","Withheld due to sensitivity.","Tillamook County","Oregon","Summer",NA,NA,NA,NA,41704,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"238","My partner and myself were elk hunting in the ""Saddle Mountain Unit."" It was approximately one hour after daylight. We were standing near our vehicle on a pullout off an old logging road trying to spot elk. I then heard a loud wailing scream tapering off into an agonizing moan. My partner just stood there looking into the canyon.I didn't speak to him. After another couple minutes passed, the scream occured again. I knew that he had heard it both times. I asked him what he thought it was. He asked what I thought it was. I told him that we both know it's a sasquatch. The sound was very loud. If I were to guess it was 250-300 yards away. Over the next ten minutes, the scream occured 2-3 more times. It seemed that the sound was directed to different directions the last couple screams. My hair was sticking up and it quite literally scared the hell out of me. No more screams were heard.(more to story)","Vernonia Rd. to Clear Crk. Rd. to Columbia River Mainline. North to Rocky Pt. Rd. and West approx. 3/4 mile. R5W- T4N This is approx 3.5 miles north of Four Corners on Hwy 26.","Columbia County","Oregon","Fall","Report 7957: Two hunters hear repeated loud screams.",45.82565,-123.296,"11/9/2003",7957,"Class B","c20kdq69fb",57.5,50,44.6,41.3,73,67.4,0.53,0.096,100,"['rain']",1013.8,"Partly cloudy throughout the day with rain.","Rain, Partially cloudy",NA,9.8,98.5,8,168
"239","Three large bi-pedal hominids\covered with black or very dark brown hair from head to foot\middle creature approximately 7-8' tall...flanked by two 6-7' creatures\tallest BF stood very still...flanking BFs rocked side to side, shifting their weight from one foot to the next\all were observing our convoy descending from nearby logging road Second witness (Sgt. Jeff Martin) witnessed same three BFs approx. 30 mins prior\observed them leave the quarry...describes graceful, fluid, glide-like stride...exagerated arm swing...*ate up quite a bit of real estate in few steps* [obviously returned to the open after Sgt. Martin's observation] Subsequent search (6 mos later w\ Big Foot Research Project), reveals tracks\various sizes ranging to 21"" x 8"" Possible fecal sample retrieved (sent to Dr. Farenbach for analysis)","Saddle Mtn. watershed\Private timber landowned by Cavenham Lumber Company (now owned by Willamette Industries I believe)\a rock quarry near the Lewis & Clark River","Clatsop County","Oregon","Spring",NA,NA,NA,NA,659,"Class A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120
